Trigraph   Frequency
   nyx            1
   oga            1
   ohd            1
   ohj            1
   oil            1
   oko            1
   omk            1
   otl            1
   otw            1
   otx            1
   ovy            1
   owc            1
   owr            1
   oxe            1
   oxm            1
   oxv            1
   oyo            1
   oyq            1
   pab            1
   pbq            1
   pcm            1
   pcr            1
   peg            1
   pij            1
   pjg            1
   pkb            1
   ppj            1
   pwu            1
   pyb            1
   pyf            1
   pzc            1
   qal            1
   qfg            1
   qfl            1
   qgg            1
   qim            1
   qjd            1
   qrk            1
   qrt            1
   qwv            1
   qwy            1
   rcd            1
   reu            1
   rjc            1
   rky            1
   rls            1
   rmr            1
   rnq            1
   roy            1
   rqa            1
   rqw            1
   rtw            1
   ruj            1
   ruo            1
   ruw            1
   rva            1
   rve            1
   rvf            1
   rvh            1
   rvl            1
   rvu            1
   rvw            1
   rvy            1
   rxy            1
   ryy            1
   sbx            1
   sby            1
   sds            1
   sec            1
   seg            1
   sej            1
   sif            1
   sis            1
   sjg            1
   sln            1
   snk            1
   sog            1
   spk            1
   sqg            1
   sqr            1
   ssw            1
   stb            1
   stk            1
   sud            1
   suw            1
   sva            1
   swc            1
   swe            1
   tap            1
   tbk            1
   tep            1
   tif            1
   tkb            1
   tls            1
   tmh            1
   tmu            1
   tny            1
   tpe            1
   tup            1
   tvo            1
   twf            1
   twr            1
   txj            1
   txm            1
   txw            1
   tyf            1
   ubc            1
   ucb            1
   udd            1
   ude            1
   udm            1
   ufa            1
   ufs            1
   ugi            1
   uhj            1
   uit            1
   ujp            1
   ujr            1
   ujv            1
   ukh            1
   uov            1
   upi            1
   upo            1
   uqf            1
   uru            1
   urv            1
   uti            1
   uwa            1
   uwi            1
   uwk            1
   uwq            1
   uwt            1
   uxe            1
   uxm            1
   uxv            1
   uzf            1
   vai            1
   var            1
   vas            1
   vbk            1
   vds            1
   vet            1
   veu            1
   vfe            1
   vgv            1
   vhq            1
   vig            1
   vir            1
   vly            1
   vot            1
   vro            1
   vso            1
   vup            1
   vwv            1
   vyf            1
   wal            1
   waw            1
   wca            1
   wcf            1
   wcn            1
   wep            1
   wfa            1
   wfe            1
   wic            1
   wkx            1
   wpf            1
   wpw            1
   wqj            1
   wru            1
   wse            1
   wtx            1
   wuc            1
   wvg            1
   wvh            1
   wwc            1
   wyg            1
   xee            1
   xeu            1
   xga            1
   xgg            1
   xis            1
   xji            1
   xmj            1
   xmm            1
   xmn            1
   xmp            1
   xmv            1
   xot            1
   xsn            1
   xuk            1
   xut            1
   xux            1
   xvh            1
   xvi            1
   xwf            1
   xxi            1
   xyt            1
   ybb            1
   ybe            1
   ybg            1
   ybh            1
   ybo            1
   ybt            1
   ybv            1
   yev            1
   yfj            1
   yfk            1
   yfl            1
   yfn            1
   yfr            1
   ygi            1
   ykt            1
   ykv            1
   ymn            1
   yog            1
   yoh            1
   yoy            1
   yqw            1
   ytn            1
   yud            1
   yxm            1
   yxo            1
   yyk            1
   yyo            1
   zaw            1
   zcn            1
   zfd            1
   zli            1
